loc,v(g),uniq_Op,uniq_Opnd,total_Op,total_Opnd
1.1,1.4,1.2,1.2,1.2,1.2
1,1,1,1,1,1
91,9,29,66,192,126
109,21,28,75,229,152
505,106,64,397,1397,942
107,25,35,86,359,260
74,11,29,63,169,125
602,136,99,538,1641,1144
29,2,8,27,73,67
36,3,15,37,137,117
70,11,28,102,240,194
109,20,23,38,144,79
37,3,21,37,99,88
90,29,21,102,287,201
19,2,15,16,44,27
152,21,26,73,243,187
22,5,17,25,59,41
69,12,21,106,300,236
49,9,25,44,116,75
48,3,23,38,137,111
128,19,34,70,285,209
32,6,28,36,107,79
38,6,19,42,148,96
34,6,19,38,108,68
16,3,14,18,36,24
15,4,18,22,50,36
14,3,10,14,29,18
22,5,17,24,59,41
22,3,11,21,43,31
12,2,10,14,24,17
25,8,16,31,63,47
23,4,15,27,57,44
8,1,11,18,26,23
47,7,18,45,83,66
19,3,14,20,42,35
64,8,22,39,119,79
110,25,23,77,361,302
58,6,16,60,164,150
167,26,20,136,367,304
60,12,25,35,109,74
14,3,15,12,26,20
15,1,5,16,28,25
120,7,28,107,544,458
28,6,21,26,52,34
64,12,26,59,202,166
61,7,16,59,159,145
3,1,6,4,6,4
141,24,32,90,365,292
6,1,13,12,18,12
93,17,28,66,229,180
6,1,13,12,18,12
31,7,18,30,61,47
153,25,33,101,462,379
63,17,24,75,229,200
106,29,28,85,297,242
23,5,25,29,66,47
29,5,18,31,93,71
84,9,31,140,457,419
17,1,16,26,58,44
6,1,4,5,6,5
15,4,18,22,50,36
29,5,18,30,84,62
5,1,4,5,6,5
15,3,11,15,32,21
5,1,4,5,6,5
6,1,4,5,6,5
23,4,15,28,57,44
5,1,4,5,6,5
5,1,4,5,6,5
43,9,14,43,104,82
14,4,15,20,40,29
16,5,16,25,52,38
3,1,9,5,13,5
24,4,12,21,60,56
17,4,13,18,45,34
6,1,4,5,6,5
27,7,22,20,55,39
6,1,4,5,6,5
10,1,6,9,14,11
29,6,15,18,48,31
8,2,6,2,8,3
108,22,31,91,270,194
14,7,16,22,42,40
0,1,1,0,1,0
13,4,12,8,25,17
0,1,1,0,1,0
56,1,34,48,202,125
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
7,1,7,11,18,13
9,2,6,10,16,14
10,1,10,11,22,13
7,1,7,11,18,13
9,2,6,10,16,14
14,1,12,21,42,26
11,3,10,15,29,28
19,5,14,15,41,25
0,1,2,0,2,0
0,1,2,0,2,0
14,2,10,18,33,28
4,1,5,4,7,4
4,1,5,4,7,4
11,1,8,8,24,14
0,1,2,0,2,0
6,2,8,6,10,10
0,1,1,0,1,0
6,1,3,5,9,6
14,2,13,12,33,17
17,6,13,9,41,30
36,7,18,35,92,62
49,10,26,42,99,69
0,1,2,0,2,0
40,9,25,35,100,65
7,2,4,3,7,3
76,14,27,51,132,95
19,2,16,24,52,38
15,3,10,17,27,21
10,3,15,9,18,13
10,1,12,11,24,13
15,3,10,17,27,21
10,3,15,9,18,13
9,1,10,9,20,11
0,1,2,0,2,0
0,1,2,0,2,0
57,9,27,52,125,86
36,9,16,30,67,45
0,1,2,0,2,0
9,1,9,6,16,8
8,1,5,3,10,4
14,2,8,11,22,13
4,1,6,6,8,7
36,10,15,36,81,70
3,1,4,5,6,5
10,2,9,9,16,13
8,2,14,12,24,17
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
51,14,21,48,145,100
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
7,1,7,10,16,12
18,5,11,11,49,38
9,1,10,9,20,11
7,1,7,10,16,12
3,1,7,4,8,4
10,1,12,11,24,13
35,7,18,34,89,59
23,6,14,24,51,34
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
63,11,30,51,153,114
22,3,10,11,36,19
0,1,2,0,2,0
8,3,11,11,24,24
142,73,36,152,554,507
58,72,17,55,268,215
22,14,19,11,65,37
29,8,20,23,79,62
44,6,15,43,108,94
0,1,2,0,2,0
5,1,4,3,4,3
7,1,7,10,16,12
8,1,8,7,15,10
16,1,10,13,33,21
7,1,7,10,16,12
8,1,8,7,15,10
9,1,10,9,20,11
0,1,2,0,2,0
0,1,2,0,2,0
3,1,10,7,20,9
3,1,3,1,3,1
23,3,11,20,52,48
14,2,10,10,33,30
3,1,3,2,3,2
0,1,4,1,4,1
27,8,22,27,72,55
18,5,18,21,53,44
53,3,17,70,158,138
253,33,47,146,602,452
11,2,11,12,25,15
10,1,7,11,21,18
17,1,13,14,38,22
11,2,11,12,25,15
10,1,7,11,21,18
15,1,10,11,30,18
19,3,12,31,78,56
28,2,12,32,97,78
4,1,5,4,7,4
4,1,6,4,8,4
62,6,24,58,145,123
3,2,4,1,4,1
0,1,4,1,4,1
13,3,10,11,26,24
16,2,13,30,109,76
5,1,7,3,8,4
15,3,11,11,24,21
91,16,26,42,235,189
26,5,15,26,49,37
11,1,6,16,23,21
16,1,11,12,34,20
26,5,15,26,49,37
11,1,6,15,23,21
17,1,13,14,38,22
20,9,18,23,65,50
23,3,16,21,64,43
30,7,16,31,71,53
29,6,18,27,87,72
8,1,6,9,14,11
8,2,10,9,15,12
43,13,22,40,101,75
45,12,26,45,122,99
21,8,19,12,50,33
3,1,4,6,10,9
33,9,11,22,56,40
46,8,22,34,99,77
18,6,10,18,43,32
45,5,19,35,74,54
19,2,16,26,64,54
8,1,8,12,19,14
5,1,6,4,8,5
11,1,12,13,26,15
8,1,8,12,19,14
5,1,6,4,8,5
16,1,11,12,34,20
19,3,15,33,93,68
27,3,12,21,67,43
10,1,8,8,23,14
7,2,9,12,23,17
17,4,10,13,34,29
8,1,5,14,26,25
21,8,19,12,50,33
13,3,14,12,31,22
27,8,21,25,65,40
14,1,12,21,54,45
14,5,16,12,36,30
28,3,10,33,65,58
25,6,14,26,51,42
19,5,15,13,48,43
7,1,7,10,16,12
6,1,6,4,10,7
9,1,10,9,20,11
7,1,7,10,16,12
6,1,6,4,10,7
7,1,10,8,19,10
32,9,11,23,57,41
32,7,16,25,67,53
64,8,26,40,151,124
7,2,6,6,10,6
4,2,7,4,7,6
5,1,7,3,8,5
10,2,8,16,28,26
10,4,13,5,30,18
13,7,19,12,53,38
8,4,6,8,16,12
18,5,14,17,39,33
5,1,5,4,7,5
5,1,5,4,7,5
11,1,12,13,26,15
24,7,20,23,57,36
12,3,10,9,22,14
3,1,5,5,8,6
64,8,25,40,141,119
12,3,13,17,29,29
19,9,19,24,75,70
0,2,6,4,8,4
46,14,25,62,127,111
72,21,16,78,206,165
47,10,17,54,129,101
72,3,15,76,212,200
41,8,22,36,77,57
6,1,5,4,9,7
6,1,5,4,9,7
9,1,10,9,20,11
12,1,13,9,27,17
123,27,46,80,239,149
24,4,20,26,67,42
24,8,17,12,75,61
19,5,13,27,57,54
15,2,11,14,33,29
0,2,6,3,8,4
0,1,1,0,1,0
6,4,11,10,21,14
27,9,13,20,59,39
17,5,15,16,38,23
32,3,14,50,129,110
32,3,16,52,136,116
63,6,11,64,102,80
4,1,7,6,9,7
11,2,6,3,13,4
7,2,8,8,15,9
25,6,18,38,95,80
4,1,6,3,7,4
21,7,16,29,72,67
11,2,8,10,18,16
0,2,6,3,8,4
66,28,32,55,207,159
40,9,25,44,137,110
42,6,22,31,133,109
16,1,5,16,37,30
5,2,8,6,9,9
19,5,14,17,42,28
28,5,17,24,64,49
28,5,17,24,64,49
17,3,12,11,24,16
9,1,4,9,16,9
35,7,23,30,94,73
6,1,4,6,13,12
11,1,12,18,47,39
42,7,21,29,88,68
21,5,15,10,33,20
21,7,13,12,40,30
0,2,6,3,8,4
36,15,19,32,102,91
37,8,24,52,145,105
12,4,13,18,32,23
21,6,19,19,49,31
10,1,5,13,21,19
13,1,6,16,26,23
23,5,13,15,45,31
77,11,21,29,99,54
4,1,4,5,9,8
4,1,5,4,6,5
9,1,10,3,18,13
0,2,6,3,8,4
21,9,17,15,52,42
41,9,24,56,167,123
46,9,23,27,100,61
4,1,6,5,9,6
3,1,7,2,8,2
12,2,10,8,17,10
40,9,25,41,137,110
9,4,8,8,16,11
12,2,8,9,14,9
3,1,7,3,8,4
103,19,19,73,378,338
5,2,8,7,10,10
16,4,13,21,37,32
0,2,6,4,8,4
8,3,10,10,19,12
77,14,30,80,315,240
8,1,4,12,19,12
15,3,11,13,26,25
5,1,7,3,8,4
12,3,11,8,20,12
44,11,28,61,188,136
4,1,6,6,12,8
15,3,11,8,25,16
52,4,19,39,143,81
4,1,5,2,6,2
12,3,16,15,34,30
7,3,9,8,15,9
8,2,10,6,17,12
28,5,20,18,58,44
155,26,34,103,333,271
9,2,10,12,20,17
3,1,4,3,4,3
31,3,15,50,136,116
3,1,7,2,8,2
49,10,23,63,186,140
37,6,20,28,58,39
15,2,9,15,37,23
18,1,10,21,46,38
144,36,29,82,575,495
39,8,18,30,92,83
19,8,16,17,46,39
13,2,9,12,24,19
89,34,40,72,278,192
70,20,31,49,132,81
21,3,14,19,37,27
8,1,3,6,13,6
40,6,28,54,153,120
48,3,15,69,145,139
31,3,15,50,136,116
78,12,28,43,159,122
5,1,7,3,8,4
46,10,25,65,192,143
5,2,10,7,10,11
69,13,22,66,217,161
54,7,22,34,90,64
54,5,21,106,266,241
141,36,29,79,567,489
21,5,19,19,63,48
13,3,11,11,24,21
7,3,9,6,16,13
10,1,6,11,18,14
41,2,21,56,192,151
42,6,12,69,126,95
16,7,11,10,57,40
28,7,17,30,69,56
31,3,15,50,136,116
5,2,12,7,13,11
8,1,8,7,15,10
32,4,17,27,59,43
83,15,19,62,296,262
4,1,3,3,5,3
39,8,21,32,77,57
9,3,12,7,20,17
5,1,4,4,7,6
3,3,10,9,16,16
9,1,12,19,36,29
31,7,21,18,70,55
37,14,11,15,93,81
50,10,28,66,196,155
13,1,9,13,40,30
76,8,14,61,242,231
31,3,15,50,136,116
79,23,34,54,151,92
12,2,12,16,22,20
5,1,4,2,6,2
44,6,19,36,98,84
7,2,7,7,10,10
8,2,13,10,17,16
14,5,14,18,30,26
4,3,9,4,17,6
88,36,23,93,274,242
31,7,21,20,70,55
40,7,18,38,93,74
11,4,14,12,28,24
21,6,15,25,60,50
28,7,17,30,69,56
50,3,20,70,244,196
9,1,6,14,36,28
33,6,14,36,61,47
21,2,16,21,61,38
106,48,13,29,492,515
6,2,10,3,12,9
12,4,13,11,31,17
6,1,6,2,7,3
50,20,32,28,184,123
31,7,21,19,70,55
49,1,4,50,142,141
55,15,26,39,100,59
21,6,14,25,59,50
76,8,14,61,242,231
29,1,13,53,96,88
34,5,16,27,56,44
16,4,14,14,32,27
5,2,7,5,13,6
20,10,18,22,59,54
9,2,8,10,20,18
10,4,13,5,20,17
13,2,8,12,38,37
40,3,21,57,181,153
5,1,7,6,10,7
21,6,15,25,60,50
9,1,13,16,36,26
23,1,3,22,43,42
12,2,6,9,25,22
36,5,16,29,64,51
54,11,24,40,122,92
6,2,4,4,7,4
152,53,66,104,1281,853
20,7,18,25,70,57
23,1,8,23,120,98
49,6,23,43,138,116
21,6,14,25,59,50
16,2,8,19,38,35
22,4,16,16,45,28
42,5,18,41,82,64
18,1,4,23,62,61
16,6,10,11,37,37
4,2,6,3,6,3
51,12,22,44,153,119
60,13,25,41,118,95
77,12,33,54,218,175
23,6,21,22,78,63
18,3,18,23,48,35
19,5,12,18,34,24
27,6,21,36,101,84
12,3,9,6,16,6
30,6,14,27,67,62
89,20,23,69,194,143
10,5,17,12,33,33
6,1,5,7,10,9
50,19,22,41,159,135
11,1,4,12,28,27
11,2,5,7,16,8
5,1,9,8,14,9
122,15,32,64,291,241
39,6,21,37,77,56
3,1,4,3,4,3
27,5,14,21,75,67
12,3,9,6,16,6
5,1,9,7,14,11
130,31,27,80,307,253
84,14,37,72,176,119
42,2,14,54,251,220
24,6,15,20,59,52
4,1,5,2,5,2
12,7,12,21,46,38
17,3,14,18,38,25
118,21,19,84,239,201
9,2,5,5,12,6
39,6,21,37,77,56
5,1,7,6,10,7
69,11,30,68,168,102
67,11,23,53,154,130
5,1,8,8,12,9
4,2,7,4,7,7
28,4,12,16,57,51
3,1,1,0,1,0
6,2,8,6,10,7
34,6,19,38,108,68
63,20,27,52,209,166
22,4,20,22,57,46
11,2,17,14,36,27
49,6,23,43,138,116
8,2,8,9,17,15
13,3,16,15,49,35
20,2,11,17,28,23
12,2,8,8,24,22
4,2,12,5,18,7
5,2,8,6,10,7
29,9,14,26,79,57
76,21,25,60,185,146
45,11,25,41,112,91
18,3,18,23,48,35
12,1,4,13,31,30
28,7,22,19,105,72
20,2,11,17,29,24
22,1,16,28,88,56
8,2,7,7,14,11
12,2,6,7,17,14
4,1,5,2,5,2
46,14,29,33,124,97
17,3,16,19,43,30
76,16,26,60,260,206
11,5,13,10,27,15
5,1,5,4,13,9
22,3,18,28,61,46
39,6,21,37,77,56
29,9,14,26,79,57
14,2,11,12,28,22
14,3,13,12,23,16
14,1,12,17,52,29
20,3,12,19,47,44
20,3,7,11,46,42
33,9,29,35,128,95
20,1,6,18,57,32
17,3,16,19,43,30
15,3,14,15,32,18
15,3,18,18,36,23
39,6,21,37,77,56
42,11,24,24,78,58
11,2,12,12,21,14
22,3,8,20,62,61
13,1,8,24,46,43
7,1,7,7,10,7
8,3,10,5,24,17
10,5,16,10,29,20
0,1,1,0,1,0
88,34,32,70,270,196
17,3,16,18,43,30
10,3,10,11,22,16
12,3,14,12,29,20
15,3,18,18,36,23
11,2,17,14,36,27
84,14,30,35,154,106
19,4,14,21,52,39
20,4,13,14,40,25
91,15,23,42,207,175
5,1,6,6,8,6
10,2,7,17,35,33
48,5,22,49,107,90
10,3,12,8,20,17
42,15,29,41,279,167
5,1,9,8,17,14
11,2,12,12,21,14
10,3,13,6,20,15
3,1,4,3,4,3
13,2,14,14,45,36
83,20,32,58,183,142
45,11,25,41,112,91
19,4,14,21,52,39
7,1,6,5,9,7
13,2,13,19,56,41
13,1,7,13,40,33
0,1,1,0,1,0
20,5,20,13,92,57
11,2,12,12,21,14
7,3,11,9,22,18
3,1,4,3,4,3
7,1,4,8,16,15
83,20,33,58,183,142
22,3,18,28,61,46
13,2,16,17,32,22
7,2,10,6,15,7
51,8,18,34,82,54
5,1,6,4,9,5
18,8,19,21,70,61
4,1,10,9,31,18
20,4,17,22,50,36
15,7,13,13,44,35
3,1,4,3,4,3
35,2,15,59,109,104
3,1,5,3,5,4
15,3,18,18,36,23
17,2,16,25,61,46
18,7,17,21,84,40
61,10,25,55,215,177
10,2,14,10,63,52
13,4,22,12,39,22
6,1,5,7,10,8
22,5,17,24,59,41
6,2,10,8,17,12
3,1,4,3,4,3
13,2,12,13,27,19
3,1,4,3,4,3
15,3,18,18,36,23
10,5,16,9,27,18
10,1,9,6,14,8
141,57,34,122,523,428
22,5,17,25,59,41
3,1,4,3,4,3
23,7,14,19,61,43
5,1,6,7,12,10
83,20,32,58,183,142
40,7,20,47,175,155
21,6,17,16,49,38
45,10,31,55,171,148
18,6,14,17,46,32
5,1,6,2,7,3
20,4,14,20,52,38
83,20,33,58,183,142
5,2,13,8,16,10
8,1,10,7,12,9
71,23,26,54,216,161
14,3,10,14,29,18
5,1,6,2,7,3
20,3,16,22,47,36
3,1,5,3,5,4
8,4,12,5,19,12
14,2,12,23,68,61
8,1,9,7,25,16
3,2,14,5,27,10
62,18,26,47,177,142
22,3,11,21,43,31
5,1,7,2,8,3
3,1,4,3,4,3
10,4,12,7,19,16
13,2,12,19,52,46
5,1,5,4,15,12
35,16,29,36,122,95
12,1,14,12,35,22
12,2,10,14,24,17
41,11,23,35,102,69
14,2,11,16,34,27
18,1,12,26,59,51
5,1,7,4,8,5
26,7,19,15,70,50
11,1,6,10,29,28
19,9,20,15,59,40
6,2,9,9,14,9
5,1,6,2,7,3
9,2,8,9,20,19
8,2,9,6,11,7
83,13,30,76,376,327
10,4,13,10,29,22
140,43,27,144,494,426
5,1,6,2,7,3
22,3,11,21,43,31
21,5,21,16,53,36
22,2,13,28,47,41
13,7,18,6,45,29
4,1,9,7,22,9
12,3,15,20,42,33
12,2,10,14,24,17
18,1,12,26,59,51
43,13,20,39,146,108
5,1,6,5,7,5
3,1,6,3,6,3
7,2,9,4,14,9
5,2,8,5,11,8
13,1,8,9,20,13
15,3,14,15,37,25
7,1,5,7,14,13
36,6,14,27,62,45
7,2,7,7,14,12
3,1,3,1,3,1
11,1,4,14,28,27
19,6,16,15,39,30
63,47,24,37,289,161
8,1,8,6,19,6
3,1,5,2,5,2
33,4,23,25,95,63
10,2,10,5,15,12
3,1,3,2,3,2
5,1,8,4,9,6
9,4,9,3,19,9
82,26,23,65,252,196
15,3,14,18,34,26
6,1,9,4,12,8
12,2,12,11,25,18
24,8,18,9,50,45
6,3,6,5,14,7
144,25,25,101,423,328
61,11,16,51,201,158
10,3,14,16,31,21
15,3,14,18,34,26
7,1,5,7,14,13
7,1,5,7,14,13
32,7,20,29,96,86
20,7,20,15,75,59
4,2,7,3,7,6
7,7,8,9,25,16
10,3,14,16,31,21
6,1,6,6,8,6
14,4,11,8,30,27
7,2,11,5,14,11
14,1,10,27,104,73
23,1,11,22,97,73
6,1,9,4,12,8
39,5,16,43,161,135
6,1,6,6,8,6
7,1,9,6,11,8
70,16,30,49,224,183
23,1,13,20,93,66
72,26,24,57,234,191
22,1,5,42,81,80
7,1,5,7,14,13
9,2,9,9,25,23
83,13,21,71,258,185
6,1,6,6,8,6
9,3,9,11,16,14
20,2,16,27,157,92
8,1,10,12,32,24
22,8,20,31,84,60
18,5,13,18,53,39
6,1,6,6,8,6
6,1,8,8,13,10
8,3,10,10,24,23
0,1,1,0,1,0
10,3,12,6,19,13
11,1,11,16,47,34
13,1,7,16,34,30
21,5,16,33,93,59
5,1,6,6,8,6
7,3,10,10,24,23
5,3,13,9,22,14
8,3,13,7,21,16
11,1,10,15,44,33
22,1,5,42,81,80
5,1,6,5,7,5
69,49,16,34,495,523
16,1,16,9,51,40
25,4,13,26,82,61
54,8,20,47,141,116
5,1,7,4,8,6
6,3,9,9,17,13
50,21,30,39,213,171
7,3,11,8,18,16
20,4,13,20,46,32
18,5,15,17,41,31
3,1,4,3,4,3
44,8,16,39,138,109
21,3,15,21,80,46
6,1,6,7,9,7
19,6,14,12,47,40
117,27,25,69,328,157
21,8,19,30,75,66
5,1,6,5,7,5
8,3,14,16,31,26
46,12,23,23,111,67
32,6,17,31,79,68
6,1,7,8,15,13
11,1,10,21,74,52
81,19,31,42,181,123
15,3,12,20,40,39
4,1,7,4,7,4
13,3,10,16,25,18
9,1,9,12,23,20
4,1,4,5,7,6
3,1,4,3,4,3
21,5,14,14,49,41
9,2,10,9,18,16
5,1,7,6,13,8
32,5,18,27,85,61
13,2,13,15,42,27
22,6,13,20,43,37
4,1,8,4,10,4
15,2,10,19,54,46
23,7,13,16,42,29
4,1,10,8,23,10
33,6,21,37,136,121
17,3,11,13,36,30
9,2,9,8,16,12
12,3,12,12,32,24
16,3,13,13,33,28
4,1,4,5,7,6
13,4,13,10,25,16
22,5,18,14,67,44
4,1,3,4,5,4
12,3,11,8,24,18
12,2,15,25,49,42
6,1,8,4,11,8
3,1,6,4,7,4
6,1,5,6,8,7
11,5,12,4,24,14
3,1,4,3,4,3
23,7,13,16,42,29
15,3,14,18,34,26
12,4,18,16,45,28
27,7,19,15,42,31
10,1,10,7,17,9
34,9,23,34,131,69
21,4,15,14,37,20
17,2,10,11,39,37
24,6,14,17,52,32
3,1,3,2,3,2
16,3,13,13,33,28
14,3,11,14,23,16
12,2,9,8,18,11
17,2,12,13,89,50
10,1,10,8,27,15
14,3,11,19,35,34
6,1,8,4,11,8
14,4,16,12,50,25
17,3,11,10,22,13
16,2,12,12,45,25
19,3,12,12,37,32
3,1,7,2,7,2
15,1,10,12,45,25
20,3,17,27,60,48
10,1,13,16,42,27
7,4,11,8,18,14
18,2,12,14,54,30
6,1,11,9,15,12
11,5,13,11,34,29
12,3,10,9,21,15
7,3,9,10,20,20
11,3,10,9,21,15
12,4,14,12,29,22
11,2,13,8,22,13
19,3,12,12,37,32
199,58,18,83,567,512
23,6,20,17,73,43
13,4,13,16,34,26
11,2,15,9,22,14
3,1,3,1,3,1
4,1,3,2,3,2
45,12,21,39,125,100
11,1,13,22,46,38
7,1,5,11,13,11
3,1,3,1,3,1
39,6,16,40,75,60
6,2,8,4,10,9
10,1,9,6,14,8
11,4,9,14,42,41
7,1,5,10,13,11
13,3,14,7,33,27
6,3,10,5,20,8
11,5,15,11,42,35
45,1,4,46,108,107
7,3,12,9,21,20
11,8,15,10,42,28
6,2,10,9,18,15
22,8,15,10,49,34
7,3,12,10,23,21
8,7,13,4,31,13
7,2,10,9,18,15
7,1,9,6,13,9
4,1,6,3,6,3
31,1,14,38,122,103
14,3,12,10,23,21
14,6,17,13,35,28
6,4,10,4,19,8
10,2,6,12,17,16
6,1,7,4,10,6
12,4,16,12,35,31
9,6,13,5,31,14
20,7,19,19,53,38
3,1,3,2,3,2
17,7,15,10,58,53
5,2,10,6,12,9
6,2,8,6,14,13
12,4,16,12,35,31
9,6,13,7,32,25
28,6,12,35,72,62
12,4,16,12,35,31
11,6,14,5,31,16
29,5,13,35,74,62
14,3,12,10,23,21
8,5,11,8,31,28
11,7,14,4,34,17
19,7,15,23,72,58
12,2,9,14,28,24
11,7,13,8,36,33
27,19,22,21,150,88
30,5,15,32,74,62
44,8,23,28,105,72
31,4,18,24,115,107
7,3,11,5,16,8
4,1,8,6,10,8
7,4,14,5,22,14
35,6,15,22,146,132
12,6,19,10,34,23
3,1,4,3,4,3
12,6,20,10,36,25
36,7,16,23,87,74
5,1,6,7,12,10
10,3,14,7,28,21
3,1,4,3,4,3
8,3,13,6,19,13
9,1,6,11,20,15
123,1,6,127,607,605
7,3,10,4,15,7
10,2,8,9,21,20
5,1,6,7,11,10
18,5,14,8,40,32
5,1,4,6,10,9
6,1,11,9,15,12
12,2,7,6,13,8
16,9,15,5,48,21
6,1,4,7,13,12
6,1,7,4,10,6
12,4,12,8,30,20
5,1,1,1,1,1
3,1,3,2,3,2
8,2,10,9,15,12
5,3,10,2,13,6
30,13,13,36,109,104
17,8,16,10,42,24
8,4,10,6,24,12
37,15,19,67,146,122
10,3,7,6,15,14
13,10,14,13,47,38
12,1,6,14,61,50
9,2,16,13,29,20
11,1,10,7,20,14
31,9,17,20,85,69
19,5,15,14,35,19
5,1,4,3,11,6
0,1,2,0,2,0
4,1,8,4,10,6
19,5,15,13,35,19
6,4,11,8,18,14
8,5,13,4,25,13
11,5,13,11,34,29
9,2,10,8,16,12
18,6,18,18,48,40
6,3,9,10,20,20
24,11,25,20,88,59
3,1,3,3,4,3
3,1,3,2,3,2
0,1,1,0,1,0
5,1,9,7,22,11
10,1,10,7,17,9
13,4,16,11,38,32
10,1,9,6,14,8
24,5,14,20,61,52
6,2,6,2,9,4
74,16,35,41,294,194
27,7,15,19,61,34
12,1,7,15,34,33
13,3,8,6,21,14
14,2,10,11,31,27
7,2,9,4,12,8
21,10,17,23,67,55
17,4,10,13,35,29
6,3,7,5,14,7
21,11,15,24,91,81
8,1,5,5,8,6
10,3,18,10,30,20
7,1,9,10,19,14
7,2,7,5,11,6
24,5,17,18,65,51
8,3,14,9,21,16
29,7,13,18,64,58
6,2,9,5,12,8
10,3,15,15,29,22
91,34,19,108,305,243
14,4,14,10,27,19
11,4,16,17,35,27
4,1,5,3,6,3
5,3,8,5,11,6
21,4,11,27,49,45
9,2,10,6,19,13
48,13,15,51,111,87
34,8,14,33,62,53
8,3,13,7,24,15
21,4,13,21,51,46
27,9,18,23,80,59
11,2,10,8,15,11
0,1,5,1,5,1
16,4,15,10,32,28
75,54,38,65,439,255
12,3,14,7,25,18
17,6,17,12,41,33
22,6,23,22,62,39
16,5,11,14,42,37
24,1,11,22,99,87
18,3,19,23,33,26
45,12,28,37,166,89
31,14,18,28,68,40
14,6,20,11,49,25
4,2,7,4,7,7
14,4,17,15,56,38
11,5,13,10,29,22
11,2,6,4,11,4
6,5,8,7,18,11
3,1,4,3,4,3
11,3,14,9,21,15
5,1,7,5,7,5
48,10,28,31,144,102
52,25,13,17,148,101
4,1,4,4,6,5
10,4,17,9,32,23
21,4,11,8,26,16
10,3,9,12,29,24
5,1,6,5,7,5
30,11,16,18,86,72
4,1,10,5,12,7
6,1,11,5,12,6
8,2,11,7,16,8
15,1,9,11,44,24
18,4,14,12,38,28
35,6,21,51,160,145
15,1,9,10,44,24
67,37,37,61,288,181
16,9,17,6,50,23
12,10,15,13,61,57
11,8,16,6,42,18
21,5,17,16,31,27
11,5,12,5,25,17
17,8,20,15,43,31
5,2,8,4,12,6
11,3,8,6,15,7
7,3,11,3,19,10
4,1,3,3,5,4
77,21,27,92,243,198
4,2,11,5,18,8
21,7,10,16,49,42
22,3,11,21,39,33
36,17,25,30,107,89
18,5,15,11,43,34
23,6,15,13,52,44
9,4,13,9,32,17
15,3,17,17,103,51
9,1,13,7,31,18
19,9,22,20,78,47
26,4,19,26,126,59
13,3,12,11,29,29
10,4,14,13,23,22
5,2,11,6,12,8
39,16,27,45,113,88
17,5,20,19,65,45
10,3,14,9,20,14
13,2,11,9,15,9
8,3,7,5,11,8
9,2,12,5,23,11
10,2,11,11,24,18
13,7,15,6,33,17
12,2,12,9,28,21
9,4,15,9,26,20
11,5,11,5,24,17
11,4,13,10,30,22
5,3,8,5,11,6
22,7,12,19,61,50
17,7,16,19,62,50
65,35,33,68,322,204
9,4,14,7,26,19
6,2,10,7,16,9
7,1,7,4,16,7
8,1,7,5,21,10
9,1,9,4,15,9
8,3,13,7,17,11
5,2,9,7,14,8
27,6,22,15,82,64
11,1,9,6,14,8
3,1,3,1,3,1
10,7,16,10,36,27
13,4,21,15,49,39
7,3,11,7,16,10
5,3,8,5,11,6
17,7,12,24,59,51
29,11,25,27,86,75
8,4,10,10,23,17
5,3,10,2,13,6
23,10,18,16,64,55
103,28,50,65,397,290
15,2,18,12,35,22
38,16,25,45,126,102
5,2,8,4,10,5
36,19,25,30,137,95
10,5,11,4,28,14
7,3,10,3,15,8
5,2,7,4,12,6
10,4,13,4,26,15
7,6,12,4,28,11
8,2,10,6,16,10
19,8,21,8,84,77
4,1,3,1,3,1
7,2,10,8,15,9
6,4,10,3,18,8
10,5,14,5,28,15
5,3,8,5,11,6
18,8,22,24,61,50
26,18,23,35,119,109